Base_Model,Quantization,Direction,Category_Type,Category_Value,comet_score,chrf_score,Count,Baseline_COMET,Baseline_chrF,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Category_Penalty,chrF_Category_Penalty,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Excess_Category_Effect,chrF_Excess_Category_Effect
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Internatoinal,0.933686,0.65441,2,0.934738,0.640209,0.880851,0.574523,0.89099,0.590504,0.001052,-0.014201,0.010138,0.01598,-0.009087,-0.030181
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Language/Italian,0.88336,0.566003,2,0.881444,0.569584,0.880851,0.574523,0.89099,0.590504,-0.001916,0.003581,0.010138,0.01598,-0.012054,-0.012399
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Language/Persian,0.880723,0.480784,2,0.90145,0.56384,0.880851,0.574523,0.89099,0.590504,0.020728,0.083056,0.010138,0.01598,0.010589,0.067075
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Law,0.885446,0.551482,2,0.857638,0.519935,0.880851,0.574523,0.89099,0.590504,-0.027808,-0.031548,0.010138,0.01598,-0.037946,-0.047528
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Learning Theories/Organizational Learning,0.911185,0.543933,2,0.913529,0.551167,0.880851,0.574523,0.89099,0.590504,0.002345,0.007233,0.010138,0.01598,-0.007794,-0.008747
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Managing Groups & Teams/Leader Credibility,0.798488,0.608741,2,0.835534,0.610243,0.880851,0.574523,0.89099,0.590504,0.037046,0.001502,0.010138,0.01598,0.026908,-0.014479
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Managing Groups & Teams/Motivation,0.927841,0.61159,6,0.928842,0.617809,0.880851,0.574523,0.89099,0.590504,0.001,0.006219,0.010138,0.01598,-0.009138,-0.009762
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Managing Groups & Teams/Virtual Teams,0.882544,0.606067,4,0.892865,0.629221,0.880851,0.574523,0.89099,0.590504,0.010321,0.023154,0.010138,0.01598,0.000183,0.007174
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Media,0.897132,0.618119,2,0.903519,0.673505,0.880851,0.574523,0.89099,0.590504,0.006387,0.055386,0.010138,0.01598,-0.003752,0.039405
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Modern Photography/Format,0.787064,0.462467,4,0.848045,0.534942,0.880851,0.574523,0.89099,0.590504,0.060981,0.072475,0.010138,0.01598,0.050843,0.056495
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Music,0.826871,0.627038,2,0.842687,0.636355,0.880851,0.574523,0.89099,0.590504,0.015817,0.009318,0.010138,0.01598,0.005678,-0.006663
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Natural Wonders/Astronomy,0.901381,0.557984,4,0.909099,0.604514,0.880851,0.574523,0.89099,0.590504,0.007719,0.04653,0.010138,0.01598,-0.00242,0.03055
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Natural Wonders/Botanical Tourism In Singapore,0.915736,0.568941,2,0.924125,0.564881,0.880851,0.574523,0.89099,0.590504,0.008389,-0.00406,0.010138,0.01598,-0.001749,-0.020041
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Natural Wonders/Cherry Blossom,0.9123,0.616534,4,0.927145,0.752535,0.880851,0.574523,0.89099,0.590504,0.014844,0.136001,0.010138,0.01598,0.004706,0.120021
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Natural Wonders/Galapagos Wildlife,0.872117,0.699203,4,0.927609,0.748543,0.880851,0.574523,0.89099,0.590504,0.055492,0.04934,0.010138,0.01598,0.045354,0.03336
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Natural Wonders/Midnight Sun,0.877329,0.552409,2,0.889179,0.563068,0.880851,0.574523,0.89099,0.590504,0.011849,0.010659,0.010138,0.01598,0.001711,-0.005322
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Natural Wonders/Waterways,0.864937,0.571444,4,0.876718,0.561639,0.880851,0.574523,0.89099,0.590504,0.01178,-0.009805,0.010138,0.01598,0.001642,-0.025785
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Nature,0.91718,0.626098,4,0.917584,0.625891,0.880851,0.574523,0.89099,0.590504,0.000404,-0.000207,0.010138,0.01598,-0.009735,-0.016187
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Nikola Tesla/Middle Years,0.919793,0.732496,2,0.919926,0.666343,0.880851,0.574523,0.89099,0.590504,0.000133,-0.066152,0.010138,0.01598,-0.010006,-0.082133
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Paleoanthropology/Genetics,0.891966,0.725688,2,0.884787,0.673454,0.880851,0.574523,0.89099,0.590504,-0.007178,-0.052234,0.010138,0.01598,-0.017317,-0.068214
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Paleoanthropology/Oldowan Period,0.892291,0.646582,2,0.882724,0.65513,0.880851,0.574523,0.89099,0.590504,-0.009567,0.008547,0.010138,0.01598,-0.019705,-0.007433
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Policy,0.85258,0.464378,2,0.871026,0.536458,0.880851,0.574523,0.89099,0.590504,0.018446,0.07208,0.010138,0.01598,0.008307,0.0561
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Politics,0.879694,0.574659,26,0.888169,0.605173,0.880851,0.574523,0.89099,0.590504,0.008475,0.030514,0.010138,0.01598,-0.001663,0.014533
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Politics And Conflicts,0.885839,0.557557,8,0.872572,0.565521,0.880851,0.574523,0.89099,0.590504,-0.013266,0.007964,0.010138,0.01598,-0.023405,-0.008017
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Reason To Travel/Christmas And New Year,0.902193,0.558995,2,0.902332,0.571113,0.880851,0.574523,0.89099,0.590504,0.000139,0.012117,0.010138,0.01598,-0.01,-0.003863
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Reason To Travel/Working In Japan,0.914122,0.564401,4,0.919887,0.568876,0.880851,0.574523,0.89099,0.590504,0.005766,0.004475,0.010138,0.01598,-0.004373,-0.011505
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Religion,0.884553,0.70292,4,0.937184,0.74864,0.880851,0.574523,0.89099,0.590504,0.052632,0.04572,0.010138,0.01598,0.042493,0.029739
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Remembering The Templars,0.938921,0.545194,2,0.938371,0.595079,0.880851,0.574523,0.89099,0.590504,-0.00055,0.049884,0.010138,0.01598,-0.010689,0.033904
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Research,0.810136,0.532408,2,0.836019,0.56766,0.880851,0.574523,0.89099,0.590504,0.025883,0.035252,0.010138,0.01598,0.015744,0.019271
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Sailing,0.8489,0.452372,4,0.846919,0.484008,0.880851,0.574523,0.89099,0.590504,-0.001982,0.031637,0.010138,0.01598,-0.01212,0.015656
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Sciece,0.882034,0.685874,6,0.87586,0.6507,0.880851,0.574523,0.89099,0.590504,-0.006174,-0.035174,0.010138,0.01598,-0.016312,-0.051155
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science,0.895961,0.610323,14,0.919046,0.645418,0.880851,0.574523,0.89099,0.590504,0.023084,0.035095,0.010138,0.01598,0.012946,0.019115
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science And Technology,0.885193,0.552491,6,0.893926,0.583474,0.880851,0.574523,0.89099,0.590504,0.008734,0.030983,0.010138,0.01598,-0.001405,0.015003
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Science Experiments, Bath Fizzler",0.905289,0.588203,2,0.896982,0.514466,0.880851,0.574523,0.89099,0.590504,-0.008307,-0.073738,0.010138,0.01598,-0.018446,-0.089718
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Science Experiments, Red Cabbage",0.93133,0.670855,4,0.921102,0.667512,0.880851,0.574523,0.89099,0.590504,-0.010228,-0.003343,0.010138,0.01598,-0.020366,-0.019323
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science/Animal Behavior,0.886317,0.667676,4,0.898571,0.665559,0.880851,0.574523,0.89099,0.590504,0.012253,-0.002117,0.010138,0.01598,0.002115,-0.018098
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science/Applied Ecology,0.868951,0.37068,2,0.869308,0.366164,0.880851,0.574523,0.89099,0.590504,0.000357,-0.004516,0.010138,0.01598,-0.009782,-0.020497
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science/First Aid,0.878287,0.414577,2,0.871498,0.40404,0.880851,0.574523,0.89099,0.590504,-0.006789,-0.010536,0.010138,0.01598,-0.016928,-0.026517
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science/General Biology,0.869461,0.53217,4,0.886497,0.569391,0.880851,0.574523,0.89099,0.590504,0.017037,0.037221,0.010138,0.01598,0.006898,0.021241
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science/Nature Of Science,0.93489,0.583038,2,0.939426,0.636784,0.880851,0.574523,0.89099,0.590504,0.004536,0.053746,0.010138,0.01598,-0.005602,0.037766
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science/Parasitic Insects,0.720258,0.425223,2,0.780185,0.489964,0.880851,0.574523,0.89099,0.590504,0.059927,0.064741,0.010138,0.01598,0.049789,0.04876
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Science/Sexual Health,0.898295,0.674036,2,0.939842,0.739847,0.880851,0.574523,0.89099,0.590504,0.041546,0.06581,0.010138,0.01598,0.031408,0.04983
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Seven Wonders Of The World/Pyramid At Giza,0.887827,0.598054,2,0.910124,0.665241,0.880851,0.574523,0.89099,0.590504,0.022298,0.067187,0.010138,0.01598,0.012159,0.051206
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Shopping,0.857474,0.399345,2,0.86099,0.378518,0.880851,0.574523,0.89099,0.590504,0.003516,-0.020828,0.010138,0.01598,-0.006622,-0.036808
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Sociology/Agriculture,0.905141,0.648425,2,0.897383,0.624333,0.880851,0.574523,0.89099,0.590504,-0.007758,-0.024092,0.010138,0.01598,-0.017896,-0.040073
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Sociology/Culture,0.866611,0.343292,2,0.870814,0.348986,0.880851,0.574523,0.89099,0.590504,0.004203,0.005694,0.010138,0.01598,-0.005935,-0.010287
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Sociology/Socialization,0.817923,0.68099,2,0.916594,0.716175,0.880851,0.574523,0.89099,0.590504,0.098671,0.035184,0.010138,0.01598,0.088532,0.019204
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Solar_System/Moon,0.948188,0.807271,2,0.946945,0.806609,0.880851,0.574523,0.89099,0.590504,-0.001242,-0.000662,0.010138,0.01598,-0.011381,-0.016642
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Solar_System/Solar_System,0.906341,0.578045,2,0.918988,0.620858,0.880851,0.574523,0.89099,0.590504,0.012646,0.042813,0.010138,0.01598,0.002508,0.026832
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Sports,0.813372,0.498804,24,0.83881,0.525258,0.880851,0.574523,0.89099,0.590504,0.025438,0.026454,0.010138,0.01598,0.0153,0.010473
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Sports, Horse Riding",0.796956,0.277882,2,0.826683,0.26121,0.880851,0.574523,0.89099,0.590504,0.029728,-0.016673,0.010138,0.01598,0.019589,-0.032653
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,The_Cold_War/Introduction,0.8946,0.553024,4,0.893464,0.578247,0.880851,0.574523,0.89099,0.590504,-0.001136,0.025223,0.010138,0.01598,-0.011275,0.009243
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,The_Elements/Mixtures,0.838566,0.71284,2,0.892447,0.631794,0.880851,0.574523,0.89099,0.590504,0.053881,-0.081045,0.010138,0.01598,0.043743,-0.097026
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,The_Elements/Overview,0.806257,0.552278,2,0.849941,0.547756,0.880851,0.574523,0.89099,0.590504,0.043684,-0.004523,0.010138,0.01598,0.033545,-0.020503
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Transport/History,0.912723,0.706428,2,0.919708,0.668246,0.880851,0.574523,0.89099,0.590504,0.006985,-0.038182,0.010138,0.01598,-0.003154,-0.054163
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Travel,0.884598,0.562068,62,0.888687,0.560519,0.880851,0.574523,0.89099,0.590504,0.004089,-0.001549,0.010138,0.01598,-0.00605,-0.017529
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Accomodation",0.849818,0.467613,2,0.864279,0.527599,0.880851,0.574523,0.89099,0.590504,0.014461,0.059986,0.010138,0.01598,0.004323,0.044005
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Art",0.909404,0.762304,2,0.896894,0.691629,0.880851,0.574523,0.89099,0.590504,-0.012509,-0.070675,0.010138,0.01598,-0.022648,-0.086655
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Climate",0.930279,0.691025,4,0.935482,0.737471,0.880851,0.574523,0.89099,0.590504,0.005202,0.046446,0.010138,0.01598,-0.004936,0.030465
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Cuisine",0.891818,0.748034,2,0.924413,0.696327,0.880851,0.574523,0.89099,0.590504,0.032595,-0.051708,0.010138,0.01598,0.022456,-0.067688
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Culture",0.888268,0.571688,8,0.903266,0.609338,0.880851,0.574523,0.89099,0.590504,0.014998,0.037649,0.010138,0.01598,0.00486,0.021669
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Economy",0.903343,0.564658,4,0.886129,0.600212,0.880851,0.574523,0.89099,0.590504,-0.017213,0.035554,0.010138,0.01598,-0.027352,0.019573
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Geography",0.879191,0.567108,6,0.890858,0.590181,0.880851,0.574523,0.89099,0.590504,0.011667,0.023073,0.010138,0.01598,0.001528,0.007092
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, History",0.902924,0.631815,12,0.907854,0.63119,0.880851,0.574523,0.89099,0.590504,0.00493,-0.000625,0.010138,0.01598,-0.005209,-0.016605
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Insects",0.908392,0.476758,4,0.902916,0.449559,0.880851,0.574523,0.89099,0.590504,-0.005476,-0.027199,0.010138,0.01598,-0.015614,-0.04318
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Laundry",0.918287,0.584423,2,0.912294,0.59847,0.880851,0.574523,0.89099,0.590504,-0.005993,0.014047,0.010138,0.01598,-0.016132,-0.001934
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Music",0.883079,0.541201,4,0.752901,0.426133,0.880851,0.574523,0.89099,0.590504,-0.130178,-0.115068,0.010138,0.01598,-0.140316,-0.131048
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Safety",0.864451,0.557206,20,0.884689,0.564453,0.880851,0.574523,0.89099,0.590504,0.020237,0.007247,0.010138,0.01598,0.010099,-0.008734
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Sports Events",0.930405,0.67884,2,0.93281,0.645055,0.880851,0.574523,0.89099,0.590504,0.002405,-0.033786,0.010138,0.01598,-0.007734,-0.049766
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Tourism",0.903353,0.620695,8,0.903864,0.632412,0.880851,0.574523,0.89099,0.590504,0.000511,0.011717,0.010138,0.01598,-0.009627,-0.004264
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Travel, Wildlife",0.872083,0.551284,6,0.881456,0.573972,0.880851,0.574523,0.89099,0.590504,0.009372,0.022688,0.010138,0.01598,-0.000766,0.006707
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,United_States_Charters_Of_Freedom/Constitution,0.873402,0.431391,2,0.888097,0.490307,0.880851,0.574523,0.89099,0.590504,0.014695,0.058916,0.010138,0.01598,0.004556,0.042936
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,United_States_Charters_Of_Freedom/Declaration_Of_Independence,0.835415,0.345184,2,0.866116,0.397866,0.880851,0.574523,0.89099,0.590504,0.030701,0.052683,0.010138,0.01598,0.020563,0.036702
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Warfare,0.916655,0.646757,6,0.919424,0.66055,0.880851,0.574523,0.89099,0.590504,0.002769,0.013792,0.010138,0.01598,-0.007369,-0.002188
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Weather,0.912512,0.645548,4,0.918422,0.672727,0.880851,0.574523,0.89099,0.590504,0.005911,0.027179,0.010138,0.01598,-0.004227,0.011199
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Wikijunior:Dinosaurs/Extinction,0.773246,0.384877,2,0.852577,0.37066,0.880851,0.574523,0.89099,0.590504,0.079331,-0.014218,0.010138,0.01598,0.069193,-0.030198
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"Work, Travel",0.931888,0.559205,2,0.927421,0.538933,0.880851,0.574523,0.89099,0.590504,-0.004467,-0.020272,0.010138,0.01598,-0.014605,-0.036252
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,"World Heritage, Machu Picchu",0.936923,0.637853,2,0.934771,0.689675,0.880851,0.574523,0.89099,0.590504,-0.002152,0.051822,0.010138,0.01598,-0.01229,0.035841
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,World_War_Ii/Liberation_Of_Western_Europe,0.927502,0.662646,2,0.930053,0.721885,0.880851,0.574523,0.89099,0.590504,0.002552,0.059239,0.010138,0.01598,-0.007587,0.043258
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Topic,Yoga/Yoga_Tales,0.902849,0.658187,6,0.904133,0.66207,0.880851,0.574523,0.89099,0.590504,0.001285,0.003883,0.010138,0.01598,-0.008854,-0.012098
Llama Krikri 8B,Fp4,All,Domain,Other,0.892253,0.592656,128,0.894035,0.593324,0.891811,0.588672,0.89099,0.590504,0.001782,0.000668,-0.000821,0.001832,0.002603,-0.001164
Llama Krikri 8B,Fp4,All,Domain,Wikijunior,0.894422,0.601227,62,0.891086,0.605162,0.891811,0.588672,0.89099,0.590504,-0.003337,0.003935,-0.000821,0.001832,-0.002515,0.002104
Llama Krikri 8B,Fp4,All,Domain,Wikinews,0.888238,0.591456,204,0.889742,0.597628,0.891811,0.588672,0.89099,0.590504,0.001504,0.006172,-0.000821,0.001832,0.002326,0.00434
Llama Krikri 8B,Fp4,All,Domain,Wikivoyage,0.894289,0.579662,206,0.890304,0.577286,0.891811,0.588672,0.89099,0.590504,-0.003985,-0.002377,-0.000821,0.001832,-0.003164,-0.004208
Llama Krikri 8B,Fp4,All,Topic,Accident,0.897379,0.518459,8,0.890239,0.496428,0.891811,0.588672,0.89099,0.590504,-0.007141,-0.022031,-0.000821,0.001832,-0.006319,-0.023863
Llama Krikri 8B,Fp4,All,Topic,American Education/Forgotten Half/Foster Care,0.893583,0.482459,2,0.893006,0.477805,0.891811,0.588672,0.89099,0.590504,-0.000577,-0.004654,-0.000821,0.001832,0.000244,-0.006486
Llama Krikri 8B,Fp4,All,Topic,American Education/Technology (Role),0.821104,0.484067,2,0.829052,0.519731,0.891811,0.588672,0.89099,0.590504,0.007948,0.035664,-0.000821,0.001832,0.00877,0.033833
Llama Krikri 8B,Fp4,All,Topic,American_Revolution/The_Declaration_Of_Independence,0.900679,0.539876,2,0.919059,0.576658,0.891811,0.588672,0.89099,0.590504,0.018379,0.036782,-0.000821,0.001832,0.019201,0.034951
Llama Krikri 8B,Fp4,All,Topic,Ancient Civilizations/Romans,0.919911,0.60217,4,0.913379,0.560196,0.891811,0.588672,0.89099,0.590504,-0.006532,-0.041974,-0.000821,0.001832,-0.005711,-0.043805
Llama Krikri 8B,Fp4,All,Topic,Ancient_Civilizations/Babylonians,0.877286,0.512097,4,0.880918,0.530184,0.891811,0.588672,0.89099,0.590504,0.003631,0.018087,-0.000821,0.001832,0.004453,0.016256
Llama Krikri 8B,Fp4,All,Topic,Ancient_Civilizations/Hebrews,0.901012,0.697824,2,0.901012,0.697824,0.891811,0.588672,0.89099,0.590504,0.0,0.0,-0.000821,0.001832,0.000821,-0.001832
Llama Krikri 8B,Fp4,All,Topic,Ancient_Civilizations/What_Is_A_Civilization%3F,0.915093,0.589919,2,0.918699,0.633596,0.891811,0.588672,0.89099,0.590504,0.003606,0.043677,-0.000821,0.001832,0.004428,0.041846
Llama Krikri 8B,Fp4,All,Topic,"Antartica, Travel",0.872142,0.590656,4,0.8938,0.647226,0.891811,0.588672,0.89099,0.590504,0.021658,0.05657,-0.000821,0.001832,0.022479,0.054739
Llama Krikri 8B,Fp4,All,Topic,"Big Cats, Lion",0.89434,0.636144,2,0.856602,0.609575,0.891811,0.588672,0.89099,0.590504,-0.037738,-0.026569,-0.000821,0.001832,-0.036917,-0.028401
Llama Krikri 8B,Fp4,All,Topic,"Big Cats, Ocelot",0.833767,0.518201,4,0.79742,0.526121,0.891811,0.588672,0.89099,0.590504,-0.036347,0.00792,-0.000821,0.001832,-0.035526,0.006088
Llama Krikri 8B,Fp4,All,Topic,"Big Cats, Tiger",0.875685,0.674987,2,0.859357,0.639591,0.891811,0.588672,0.89099,0.590504,-0.016328,-0.035396,-0.000821,0.001832,-0.015507,-0.037228
Llama Krikri 8B,Fp4,All,Topic,"Biology, Origin Of Life",0.916352,0.714361,2,0.916352,0.714361,0.891811,0.588672,0.89099,0.590504,0.0,0.0,-0.000821,0.001832,0.000821,-0.001832
Llama Krikri 8B,Fp4,All,Topic,"Biology, Plants",0.950584,0.77532,2,0.949774,0.771516,0.891811,0.588672,0.89099,0.590504,-0.00081,-0.003803,-0.000821,0.001832,1.1e-05,-0.005635
Llama Krikri 8B,Fp4,All,Topic,Blended Learning/Blogging,0.89337,0.683044,2,0.900306,0.693405,0.891811,0.588672,0.89099,0.590504,0.006937,0.010361,-0.000821,0.001832,0.007758,0.008529
Llama Krikri 8B,Fp4,All,Topic,Blended Learning/Field Trips,0.880976,0.596808,4,0.869596,0.57106,0.891811,0.588672,0.89099,0.590504,-0.011379,-0.025748,-0.000821,0.001832,-0.010558,-0.027579
Llama Krikri 8B,Fp4,All,Topic,Bugs/Insects_Intro,0.868478,0.730234,4,0.886641,0.74575,0.891811,0.588672,0.89099,0.590504,0.018164,0.015516,-0.000821,0.001832,0.018985,0.013684
Llama Krikri 8B,Fp4,All,Topic,Business,0.874038,0.418507,4,0.887549,0.479283,0.891811,0.588672,0.89099,0.590504,0.013511,0.060776,-0.000821,0.001832,0.014333,0.058945
Llama Krikri 8B,Fp4,All,Topic,Climate,0.915498,0.670523,4,0.918251,0.684046,0.891811,0.588672,0.89099,0.590504,0.002752,0.013523,-0.000821,0.001832,0.003574,0.011692
Llama Krikri 8B,Fp4,All,Topic,Cognitive Psycology And Neuroscience/Cognitive Neuropsychology,0.913227,0.626441,6,0.912617,0.620564,0.891811,0.588672,0.89099,0.590504,-0.00061,-0.005878,-0.000821,0.001832,0.000212,-0.007709
Llama Krikri 8B,Fp4,All,Topic,Communication,0.917528,0.669515,2,0.90915,0.649282,0.891811,0.588672,0.89099,0.590504,-0.008379,-0.020233,-0.000821,0.001832,-0.007557,-0.022065
Llama Krikri 8B,Fp4,All,Topic,Communication Theory/Nonverbal Comms,0.833726,0.435682,2,0.842605,0.439624,0.891811,0.588672,0.89099,0.590504,0.008879,0.003943,-0.000821,0.001832,0.0097,0.002111
Llama Krikri 8B,Fp4,All,Topic,Communication Theory/Uses And Gratifications,0.932008,0.601015,4,0.93617,0.609181,0.891811,0.588672,0.89099,0.590504,0.004162,0.008166,-0.000821,0.001832,0.004984,0.006335
Llama Krikri 8B,Fp4,All,Topic,Crime,0.882649,0.570527,8,0.891896,0.599495,0.891811,0.588672,0.89099,0.590504,0.009247,0.028968,-0.000821,0.001832,0.010068,0.027136
Llama Krikri 8B,Fp4,All,Topic,Crime And Law,0.90071,0.592713,12,0.901175,0.597115,0.891811,0.588672,0.89099,0.590504,0.000466,0.004402,-0.000821,0.001832,0.001287,0.00257
Llama Krikri 8B,Fp4,All,Topic,Culture,0.909453,0.489472,2,0.910597,0.492344,0.891811,0.588672,0.89099,0.590504,0.001143,0.002872,-0.000821,0.001832,0.001965,0.001041
Llama Krikri 8B,Fp4,All,Topic,Culture And Entertainment,0.862223,0.578975,12,0.86179,0.580774,0.891811,0.588672,0.89099,0.590504,-0.000433,0.001799,-0.000821,0.001832,0.000389,-3.3e-05
Llama Krikri 8B,Fp4,All,Topic,"Dinosaurs, Mosasaurus",0.84474,0.537657,2,0.845764,0.531979,0.891811,0.588672,0.89099,0.590504,0.001024,-0.005678,-0.000821,0.001832,0.001845,-0.00751
Llama Krikri 8B,Fp4,All,Topic,Disaster,0.91072,0.635693,8,0.897117,0.603424,0.891811,0.588672,0.89099,0.590504,-0.013603,-0.032269,-0.000821,0.001832,-0.012782,-0.0341
Llama Krikri 8B,Fp4,All,Topic,Disasters And Accidents,0.912685,0.537208,6,0.91493,0.526945,0.891811,0.588672,0.89099,0.590504,0.002245,-0.010262,-0.000821,0.001832,0.003066,-0.012094
Llama Krikri 8B,Fp4,All,Topic,"Disease, Research, Canada",0.814867,0.537666,2,0.814867,0.537666,0.891811,0.588672,0.89099,0.590504,0.0,0.0,-0.000821,0.001832,0.000821,-0.001832
Llama Krikri 8B,Fp4,All,Topic,Entertainment,0.918161,0.711873,12,0.916379,0.707698,0.891811,0.588672,0.89099,0.590504,-0.001783,-0.004175,-0.000821,0.001832,-0.000961,-0.006007
Llama Krikri 8B,Fp4,All,Topic,Environment,0.908997,0.646179,12,0.910118,0.645188,0.891811,0.588672,0.89099,0.590504,0.00112,-0.000991,-0.000821,0.001832,0.001942,-0.002823
Llama Krikri 8B,Fp4,All,Topic,Environmental_Theory_And_Collection_Of_Ideas/Environmentalism_And_Survival,0.892357,0.463247,6,0.896552,0.482929,0.891811,0.588672,0.89099,0.590504,0.004195,0.019682,-0.000821,0.001832,0.005017,0.01785
Llama Krikri 8B,Fp4,All,Topic,Europe/Vatican_City,0.944187,0.624685,2,0.939402,0.627422,0.891811,0.588672,0.89099,0.590504,-0.004785,0.002738,-0.000821,0.001832,-0.003964,0.000906
