Base_Model,Quantization,Direction,Challenge,Normal_Count,Challenging_Count,COMET_Normal,COMET_Challenging,chrF_Normal,chrF_Challenging,COMET_Raw_Gap,chrF_Raw_Gap,Baseline_COMET_Normal,Baseline_COMET_Challenging,Baseline_chrF_Normal,Baseline_chrF_Challenging,Baseline_COMET_Raw_Gap,Baseline_chrF_Raw_Gap,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Normal_Penalty,COMET_Challenging_Penalty,chrF_Normal_Penalty,chrF_Challenging_Penalty,COMET_Excess_Challenge_Effect,chrF_Excess_Challenge_Effect,COMET_Effect_Check,chrF_Effect_Check
Llama Krikri 8B,2bit 5% Spqr,All,Is_Long_Sentence,565,35,0.577847,0.605041,0.202109,0.323467,-0.027194,-0.121359,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.579433,0.209188,0.89099,0.590504,0.311556,0.381316,0.314407,0.265543,0.385045,0.32111,-0.048864,-0.063935,-0.048864,-0.063935
Llama Krikri 8B,4bit K-Means,All,Has_Rare_Words,224,376,0.881919,0.871145,0.537961,0.571292,0.010774,-0.03333,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.875167,0.558848,0.89099,0.590504,0.015823,0.031656,0.016327,0.015522,0.021862,0.03749,-0.000805,0.015628,-0.000805,0.015628
Llama Krikri 8B,4bit K-Means,All,High_Morphology,450,150,0.873874,0.879045,0.55493,0.570604,-0.005171,-0.015675,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.875167,0.558848,0.89099,0.590504,0.015823,0.031656,0.014957,0.018419,0.030657,0.03465,0.003462,0.003993,0.003462,0.003993
Llama Krikri 8B,4bit K-Means,All,Is_Long_Sentence,565,35,0.876534,0.853093,0.555571,0.611758,0.023442,-0.056188,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.875167,0.558848,0.89099,0.590504,0.015823,0.031656,0.015719,0.017491,0.031584,0.032819,0.001772,0.001236,0.001772,0.001236
Llama Krikri 8B,4bit Omniquant,All,Has_Rare_Words,224,376,0.901127,0.884785,0.562236,0.598028,0.016342,-0.035792,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.890886,0.584666,0.89099,0.590504,0.000104,0.005838,-0.002881,0.001882,-0.002413,0.010754,0.004763,0.013167,0.004763,0.013167
Llama Krikri 8B,4bit Omniquant,All,High_Morphology,450,150,0.888933,0.896745,0.580243,0.597932,-0.007812,-0.017689,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.890886,0.584666,0.89099,0.590504,0.000104,0.005838,-0.000102,0.00072,0.005344,0.007322,0.000822,0.001978,0.000822,0.001978
Llama Krikri 8B,4bit Omniquant,All,Is_Long_Sentence,565,35,0.892411,0.86627,0.581396,0.637445,0.026141,-0.056049,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.890886,0.584666,0.89099,0.590504,0.000104,0.005838,-0.000157,0.004314,0.005758,0.007132,0.004471,0.001374,0.004471,0.001374
Llama Krikri 8B,4bit Optimized GPTQ,All,Has_Rare_Words,224,376,0.90088,0.884694,0.559143,0.602065,0.016185,-0.042922,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.890737,0.586041,0.89099,0.590504,0.000253,0.004463,-0.002634,0.001972,0.00068,0.006717,0.004606,0.006036,0.004606,0.006036
Llama Krikri 8B,4bit Optimized GPTQ,All,High_Morphology,450,150,0.889044,0.895817,0.581194,0.600582,-0.006773,-0.019388,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.890737,0.586041,0.89099,0.590504,0.000253,0.004463,-0.000212,0.001648,0.004393,0.004672,0.00186,0.000279,0.00186,0.000279
Llama Krikri 8B,4bit Optimized GPTQ,All,Is_Long_Sentence,565,35,0.892186,0.867353,0.582121,0.649316,0.024833,-0.067195,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.890737,0.586041,0.89099,0.590504,0.000253,0.004463,6.8e-05,0.003231,0.005033,-0.004739,0.003163,-0.009771,0.003163,-0.009771
Llama Krikri 8B,4bit Spinquant,All,Has_Rare_Words,224,376,0.900732,0.885233,0.55545,0.59843,0.015499,-0.04298,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.891019,0.582384,0.89099,0.590504,-3e-05,0.00812,-0.002486,0.001434,0.004373,0.010352,0.00392,0.005979,0.00392,0.005979
Llama Krikri 8B,4bit Spinquant,All,High_Morphology,450,150,0.889099,0.89678,0.578377,0.594407,-0.007681,-0.01603,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.891019,0.582384,0.89099,0.590504,-3e-05,0.00812,-0.000268,0.000684,0.00721,0.010848,0.000952,0.003638,0.000952,0.003638
Llama Krikri 8B,4bit Spinquant,All,Is_Long_Sentence,565,35,0.892495,0.867205,0.579128,0.634947,0.025289,-0.055818,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.891019,0.582384,0.89099,0.590504,-3e-05,0.00812,-0.000241,0.003379,0.008026,0.009631,0.00362,0.001605,0.00362,0.001605
Llama Krikri 8B,4bit Static GPTQ,All,Has_Rare_Words,224,376,0.900589,0.884336,0.56024,0.600261,0.016253,-0.040021,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.890404,0.58532,0.89099,0.590504,0.000586,0.005184,-0.002343,0.00233,-0.000417,0.008521,0.004674,0.008938,0.004674,0.008938
Llama Krikri 8B,4bit Static GPTQ,All,High_Morphology,450,150,0.888189,0.897049,0.581021,0.598216,-0.008861,-0.017195,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.890404,0.58532,0.89099,0.590504,0.000586,0.005184,0.000642,0.000415,0.004566,0.007039,-0.000227,0.002473,-0.000227,0.002473
Llama Krikri 8B,4bit Static GPTQ,All,Is_Long_Sentence,565,35,0.891772,0.868329,0.582283,0.634343,0.023442,-0.05206,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.890404,0.58532,0.89099,0.590504,0.000586,0.005184,0.000482,0.002255,0.004871,0.010235,0.001772,0.005364,0.001772,0.005364
Llama Krikri 8B,4bit True GPTQ,All,Has_Rare_Words,224,376,0.897443,0.884676,0.557668,0.599072,0.012767,-0.041404,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.889442,0.583615,0.89099,0.590504,0.001547,0.006889,0.000803,0.001991,0.002155,0.00971,0.001188,0.007555,0.001188,0.007555
Llama Krikri 8B,4bit True GPTQ,All,High_Morphology,450,150,0.886869,0.897162,0.577666,0.601461,-0.010292,-0.023795,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.889442,0.583615,0.89099,0.590504,0.001547,0.006889,0.001962,0.000303,0.007921,0.003794,-0.001659,-0.004128,-0.001659,-0.004128
Llama Krikri 8B,4bit True GPTQ,All,Is_Long_Sentence,565,35,0.890729,0.86868,0.580214,0.638507,0.022049,-0.058292,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.889442,0.583615,0.89099,0.590504,0.001547,0.006889,0.001525,0.001904,0.00694,0.006071,0.000379,-0.000869,0.000379,-0.000869
Llama Krikri 8B,Analytical Net Mngr 4.5GB,All,Has_Rare_Words,224,376,0.422281,0.403545,0.037882,0.045179,0.018736,-0.007296,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.41054,0.042455,0.89099,0.590504,0.48045,0.548049,0.475964,0.483122,0.521941,0.563603,0.007157,0.041662,0.007157,0.041662
Llama Krikri 8B,Analytical Net Mngr 4.5GB,All,High_Morphology,450,150,0.407275,0.420336,0.043482,0.039372,-0.013061,0.00411,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.41054,0.042455,0.89099,0.590504,0.48045,0.548049,0.481556,0.477129,0.542105,0.565883,-0.004428,0.023778,-0.004428,0.023778
Llama Krikri 8B,Analytical Net Mngr 4.5GB,All,Is_Long_Sentence,565,35,0.413898,0.356327,0.040794,0.069265,0.057571,-0.028471,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.41054,0.042455,0.89099,0.590504,0.48045,0.548049,0.478355,0.514256,0.546361,0.575313,0.035901,0.028952,0.035901,0.028952
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Has_Rare_Words,224,376,0.888194,0.876477,0.555359,0.58594,0.011717,-0.030581,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.880851,0.574523,0.89099,0.590504,0.010138,0.01598,0.010052,0.01019,0.004464,0.022842,0.000138,0.018378,0.000138,0.018378
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,High_Morphology,450,150,0.879015,0.886361,0.570563,0.586406,-0.007347,-0.015844,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.880851,0.574523,0.89099,0.590504,0.010138,0.01598,0.009817,0.011104,0.015024,0.018849,0.001287,0.003824,0.001287,0.003824
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,Is_Long_Sentence,565,35,0.882065,0.861259,0.571751,0.619271,0.020806,-0.047519,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.880851,0.574523,0.89099,0.590504,0.010138,0.01598,0.010189,0.009325,0.015403,0.025307,-0.000864,0.009904,-0.000864,0.009904
Llama Krikri 8B,Fp4,All,Has_Rare_Words,224,376,0.902742,0.885299,0.567632,0.601207,0.017443,-0.033575,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.891811,0.588672,0.89099,0.590504,-0.000821,0.001832,-0.004496,0.001368,-0.007809,0.007575,0.005864,0.015384,0.005864,0.015384
Llama Krikri 8B,Fp4,All,High_Morphology,450,150,0.8899,0.897544,0.582613,0.60685,-0.007643,-0.024237,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.891811,0.588672,0.89099,0.590504,-0.000821,0.001832,-0.001069,-7.9e-05,0.002974,-0.001596,0.00099,-0.00457,0.00099,-0.00457
Llama Krikri 8B,Fp4,All,Is_Long_Sentence,565,35,0.893169,0.869888,0.585437,0.640906,0.023281,-0.055469,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.891811,0.588672,0.89099,0.590504,-0.000821,0.001832,-0.000915,0.000696,0.001718,0.003672,0.001611,0.001954,0.001611,0.001954
Llama Krikri 8B,Fp4 AWQ,All,Has_Rare_Words,224,376,0.900196,0.887191,0.562193,0.606799,0.013005,-0.044607,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.892046,0.590146,0.89099,0.590504,-0.001056,0.000358,-0.00195,-0.000524,-0.00237,0.001983,0.001426,0.004352,0.001426,0.004352
Llama Krikri 8B,Fp4 AWQ,All,High_Morphology,450,150,0.889683,0.899134,0.58321,0.610955,-0.00945,-0.027745,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.892046,0.590146,0.89099,0.590504,-0.001056,0.000358,-0.000852,-0.001669,0.002377,-0.005701,-0.000817,-0.008078,-0.000817,-0.008078
Llama Krikri 8B,Fp4 AWQ,All,Is_Long_Sentence,565,35,0.893297,0.871844,0.586558,0.648075,0.021453,-0.061517,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.892046,0.590146,0.89099,0.590504,-0.001056,0.000358,-0.001044,-0.001261,0.000597,-0.003497,-0.000217,-0.004094,-0.000217,-0.004094
Llama Krikri 8B,Fp8,All,Has_Rare_Words,224,376,0.901165,0.886145,0.560247,0.605073,0.015021,-0.044826,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.891753,0.588338,0.89099,0.590504,-0.000763,0.002166,-0.00292,0.000522,-0.000424,0.003709,0.003442,0.004133,0.003442,0.004133
Llama Krikri 8B,Fp8,All,High_Morphology,450,150,0.889736,0.897801,0.582512,0.605816,-0.008064,-0.023303,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.891753,0.588338,0.89099,0.590504,-0.000763,0.002166,-0.000905,-0.000336,0.003075,-0.000561,0.000569,-0.003636,0.000569,-0.003636
Llama Krikri 8B,Fp8,All,Is_Long_Sentence,565,35,0.893117,0.869725,0.584943,0.643145,0.023392,-0.058202,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.891753,0.588338,0.89099,0.590504,-0.000763,0.002166,-0.000863,0.000859,0.002211,0.001433,0.001722,-0.000779,0.001722,-0.000779
Llama Krikri 8B,Fp8 Per Tensor,All,Has_Rare_Words,224,376,0.898417,0.886443,0.560204,0.604842,0.011974,-0.044637,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.890913,0.588177,0.89099,0.590504,7.6e-05,0.002327,-0.000172,0.000224,-0.000381,0.00394,0.000396,0.004322,0.000396,0.004322
Llama Krikri 8B,Fp8 Per Tensor,All,High_Morphology,450,150,0.888625,0.89778,0.581569,0.608002,-0.009155,-0.026433,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.890913,0.588177,0.89099,0.590504,7.6e-05,0.002327,0.000207,-0.000315,0.004018,-0.002747,-0.000521,-0.006766,-0.000521,-0.006766
Llama Krikri 8B,Fp8 Per Tensor,All,Is_Long_Sentence,565,35,0.892226,0.869717,0.584647,0.645155,0.022509,-0.060507,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.890913,0.588177,0.89099,0.590504,7.6e-05,0.002327,2.7e-05,0.000867,0.002507,-0.000577,0.00084,-0.003084,0.00084,-0.003084
Llama Krikri 8B,Full Model,All,Has_Rare_Words,224,376,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.89099,0.590504,0.89099,0.590504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama Krikri 8B,Full Model,All,High_Morphology,450,150,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.89099,0.590504,0.89099,0.590504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama Krikri 8B,Full Model,All,Is_Long_Sentence,565,35,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.89099,0.590504,0.89099,0.590504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama Krikri 8B,Int2 Batch16,All,Has_Rare_Words,224,376,0.584794,0.606582,0.04747,0.086713,-0.021787,-0.039244,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.598448,0.072062,0.89099,0.590504,0.292542,0.518442,0.313451,0.280085,0.512353,0.522069,-0.033366,0.009715,-0.033366,0.009715
Llama Krikri 8B,Int2 Batch16,All,High_Morphology,450,150,0.594678,0.609757,0.073553,0.067589,-0.015079,0.005964,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.598448,0.072062,0.89099,0.590504,0.292542,0.518442,0.294153,0.287708,0.512034,0.537665,-0.006445,0.025631,-0.006445,0.025631
Llama Krikri 8B,Int2 Batch16,All,Is_Long_Sentence,565,35,0.6014,0.550793,0.072536,0.064411,0.050607,0.008126,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.598448,0.072062,0.89099,0.590504,0.292542,0.518442,0.290854,0.319791,0.514618,0.580167,0.028937,0.065549,0.028937,0.065549
Llama Krikri 8B,Int4,All,Has_Rare_Words,224,376,0.90022,0.884552,0.564404,0.598893,0.015668,-0.034489,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.890401,0.586017,0.89099,0.590504,0.000588,0.004487,-0.001974,0.002115,-0.004581,0.009889,0.004089,0.01447,0.004089,0.01447
Llama Krikri 8B,Int4,All,High_Morphology,450,150,0.888419,0.896348,0.58172,0.59891,-0.007929,-0.01719,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.890401,0.586017,0.89099,0.590504,0.000588,0.004487,0.000412,0.001117,0.003867,0.006345,0.000705,0.002477,0.000705,0.002477
Llama Krikri 8B,Int4,All,Is_Long_Sentence,565,35,0.891694,0.86953,0.58229,0.646191,0.022164,-0.063901,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.890401,0.586017,0.89099,0.590504,0.000588,0.004487,0.00056,0.001054,0.004864,-0.001613,0.000494,-0.006478,0.000494,-0.006478
Llama Krikri 8B,Int4 AWQ,All,Has_Rare_Words,224,376,0.902687,0.883951,0.564648,0.600876,0.018736,-0.036228,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.890946,0.587351,0.89099,0.590504,4.4e-05,0.003153,-0.004441,0.002716,-0.004825,0.007906,0.007157,0.012731,0.007157,0.012731
Llama Krikri 8B,Int4 AWQ,All,High_Morphology,450,150,0.889874,0.894162,0.582773,0.601085,-0.004288,-0.018312,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.890946,0.587351,0.89099,0.590504,4.4e-05,0.003153,-0.001043,0.003303,0.002814,0.00417,0.004345,0.001355,0.004345,0.001355
Llama Krikri 8B,Int4 AWQ,All,Is_Long_Sentence,565,35,0.892276,0.869468,0.583579,0.648235,0.022809,-0.064656,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.890946,0.587351,0.89099,0.590504,4.4e-05,0.003153,-2.3e-05,0.001116,0.003575,-0.003657,0.001139,-0.007232,0.001139,-0.007232
Llama Krikri 8B,Int8,All,Has_Rare_Words,224,376,0.897444,0.886095,0.558082,0.606399,0.01135,-0.048317,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.890332,0.588361,0.89099,0.590504,0.000658,0.002143,0.000802,0.000572,0.001741,0.002383,-0.000229,0.000642,-0.000229,0.000642
Llama Krikri 8B,Int8,All,High_Morphology,450,150,0.888105,0.897012,0.583122,0.604075,-0.008907,-0.020953,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.890332,0.588361,0.89099,0.590504,0.000658,0.002143,0.000726,0.000453,0.002465,0.00118,-0.000273,-0.001285,-0.000273,-0.001285
Llama Krikri 8B,Int8,All,Is_Long_Sentence,565,35,0.891581,0.87017,0.58492,0.643905,0.021411,-0.058985,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.890332,0.588361,0.89099,0.590504,0.000658,0.002143,0.000673,0.000414,0.002234,0.000673,-0.000259,-0.001561,-0.000259,-0.001561
Llama Krikri 8B,Int8 A8W8,All,Has_Rare_Words,151,249,0.895664,0.885925,0.559655,0.611508,0.009739,-0.051852,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.889602,0.591933,0.89099,0.590504,0.001388,-0.001429,0.002582,0.000742,0.000168,-0.002726,-0.00184,-0.002894,-0.00184,-0.002894
Llama Krikri 8B,Int8 A8W8,All,High_Morphology,300,100,0.888661,0.892422,0.587607,0.604913,-0.003761,-0.017306,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.889602,0.591933,0.89099,0.590504,0.001388,-0.001429,0.00017,0.005043,-0.00202,0.000342,0.004873,0.002362,0.004873,0.002362
Llama Krikri 8B,Int8 A8W8,All,Is_Long_Sentence,376,24,0.890911,0.86908,0.589624,0.628122,0.021832,-0.038498,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.889602,0.591933,0.89099,0.590504,0.001388,-0.001429,0.001342,0.001504,-0.002469,0.016456,0.000162,0.018925,0.000162,0.018925
Llama Krikri 8B,Int8 Bookends,All,Has_Rare_Words,224,376,0.899432,0.885432,0.562678,0.604925,0.014001,-0.042247,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.890659,0.589153,0.89099,0.590504,0.000331,0.001351,-0.001187,0.001235,-0.002855,0.003857,0.002422,0.006712,0.002422,0.006712
Llama Krikri 8B,Int8 Bookends,All,High_Morphology,450,150,0.888748,0.896391,0.583631,0.605719,-0.007643,-0.022088,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.890659,0.589153,0.89099,0.590504,0.000331,0.001351,8.3e-05,0.001074,0.001956,-0.000464,0.000991,-0.002421,0.000991,-0.002421
Llama Krikri 8B,Int8 Bookends,All,Is_Long_Sentence,565,35,0.892016,0.868746,0.585757,0.643974,0.02327,-0.058217,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.890659,0.589153,0.89099,0.590504,0.000331,0.001351,0.000238,0.001838,0.001398,0.000604,0.0016,-0.000794,0.0016,-0.000794
Llama Krikri 8B,Nf4,All,Has_Rare_Words,224,376,0.897979,0.884269,0.5604,0.601263,0.013709,-0.040862,0.898246,0.886667,0.559823,0.608782,0.011579,-0.048959,0.889388,0.586007,0.89099,0.590504,0.001602,0.004497,0.000267,0.002397,-0.000577,0.007519,0.002131,0.008096,0.002131,0.008096
Llama Krikri 8B,Nf4,All,High_Morphology,450,150,0.88739,0.895382,0.581563,0.59934,-0.007992,-0.017777,0.888831,0.897465,0.585587,0.605255,-0.008634,-0.019668,0.889388,0.586007,0.89099,0.590504,0.001602,0.004497,0.001442,0.002083,0.004024,0.005914,0.000641,0.00189,0.000641,0.00189
Llama Krikri 8B,Nf4,All,Is_Long_Sentence,565,35,0.890571,0.870286,0.582454,0.643374,0.020285,-0.060921,0.892254,0.870584,0.587154,0.644578,0.02167,-0.057423,0.889388,0.586007,0.89099,0.590504,0.001602,0.004497,0.001683,0.000298,0.004701,0.001203,-0.001385,-0.003497,-0.001385,-0.003497
Llama Krikri 8B,2bit 10% Fast Spqr,EN-GR,Has_Rare_Words,163,137,0.823313,0.824502,0.410287,0.4324,-0.001189,-0.022114,0.90666,0.898855,0.54231,0.552647,0.007805,-0.010337,0.823856,0.420385,0.903096,0.54703,0.07924,0.126645,0.083347,0.074354,0.132023,0.120246,-0.008994,-0.011777,-0.008994,-0.011777
Llama Krikri 8B,2bit 10% Fast Spqr,EN-GR,High_Morphology,225,75,0.819557,0.836754,0.420189,0.420975,-0.017198,-0.000786,0.901782,0.90704,0.544357,0.555051,-0.005258,-0.010694,0.823856,0.420385,0.903096,0.54703,0.07924,0.126645,0.082225,0.070285,0.124168,0.134076,-0.01194,0.009908,-0.01194,0.009908
Llama Krikri 8B,2bit 10% Fast Spqr,EN-GR,Is_Long_Sentence,288,12,0.821816,0.872821,0.416091,0.523438,-0.051005,-0.107347,0.903754,0.88731,0.546256,0.565612,0.016444,-0.019356,0.823856,0.420385,0.903096,0.54703,0.07924,0.126645,0.081938,0.014488,0.130165,0.042174,-0.06745,-0.087991,-0.06745,-0.087991
Llama Krikri 8B,2bit 5% Spqr,EN-GR,Has_Rare_Words,163,137,0.516982,0.495109,0.006692,0.022432,0.021872,-0.015741,0.90666,0.898855,0.54231,0.552647,0.007805,-0.010337,0.506993,0.01388,0.903096,0.54703,0.396103,0.533151,0.389679,0.403746,0.535618,0.530214,0.014067,-0.005404,0.014067,-0.005404
Llama Krikri 8B,2bit 5% Spqr,EN-GR,High_Morphology,225,75,0.502826,0.519494,0.014063,0.013331,-0.016668,0.000731,0.901782,0.90704,0.544357,0.555051,-0.005258,-0.010694,0.506993,0.01388,0.903096,0.54703,0.396103,0.533151,0.398955,0.387546,0.530294,0.541719,-0.011409,0.011425,-0.011409,0.011425
Llama Krikri 8B,2bit 5% Spqr,EN-GR,Is_Long_Sentence,288,12,0.510136,0.431573,0.01338,0.025865,0.078562,-0.012484,0.903754,0.88731,0.546256,0.565612,0.016444,-0.019356,0.506993,0.01388,0.903096,0.54703,0.396103,0.533151,0.393618,0.455736,0.532876,0.539747,0.062118,0.006872,0.062118,0.006872
Llama Krikri 8B,4bit K-Means,EN-GR,Has_Rare_Words,163,137,0.880994,0.874692,0.514998,0.518926,0.006303,-0.003928,0.90666,0.898855,0.54231,0.552647,0.007805,-0.010337,0.878116,0.516792,0.903096,0.54703,0.02498,0.030239,0.025666,0.024164,0.027312,0.033721,-0.001502,0.006409,-0.001502,0.006409
Llama Krikri 8B,4bit K-Means,EN-GR,High_Morphology,225,75,0.877306,0.880548,0.513238,0.527454,-0.003243,-0.014217,0.901782,0.90704,0.544357,0.555051,-0.005258,-0.010694,0.878116,0.516792,0.903096,0.54703,0.02498,0.030239,0.024476,0.026492,0.031119,0.027597,0.002016,-0.003523,0.002016,-0.003523
Llama Krikri 8B,4bit K-Means,EN-GR,Is_Long_Sentence,288,12,0.879197,0.852183,0.515012,0.559493,0.027014,-0.04448,0.903754,0.88731,0.546256,0.565612,0.016444,-0.019356,0.878116,0.516792,0.903096,0.54703,0.02498,0.030239,0.024557,0.035127,0.031244,0.006119,0.01057,-0.025124,0.01057,-0.025124
Llama Krikri 8B,4bit Omniquant,EN-GR,Has_Rare_Words,163,137,0.90583,0.894658,0.547208,0.539766,0.011172,0.007442,0.90666,0.898855,0.54231,0.552647,0.007805,-0.010337,0.900728,0.543809,0.903096,0.54703,0.002368,0.003221,0.000831,0.004198,-0.004898,0.012881,0.003367,0.017779,0.003367,0.017779
Llama Krikri 8B,4bit Omniquant,EN-GR,High_Morphology,225,75,0.89953,0.904321,0.541728,0.550054,-0.00479,-0.008326,0.901782,0.90704,0.544357,0.555051,-0.005258,-0.010694,0.900728,0.543809,0.903096,0.54703,0.002368,0.003221,0.002251,0.002719,0.002629,0.004997,0.000468,0.002368,0.000468,0.002368
Llama Krikri 8B,4bit Omniquant,EN-GR,Is_Long_Sentence,288,12,0.901826,0.874377,0.542731,0.569689,0.027449,-0.026958,0.903754,0.88731,0.546256,0.565612,0.016444,-0.019356,0.900728,0.543809,0.903096,0.54703,0.002368,0.003221,0.001928,0.012932,0.003525,-0.004077,0.011004,-0.007602,0.011004,-0.007602
Llama Krikri 8B,4bit Optimized GPTQ,EN-GR,Has_Rare_Words,163,137,0.906355,0.896829,0.541728,0.552236,0.009526,-0.010508,0.90666,0.898855,0.54231,0.552647,0.007805,-0.010337,0.902005,0.546527,0.903096,0.54703,0.001092,0.000504,0.000306,0.002026,0.000582,0.000411,0.001721,-0.000171,0.001721,-0.000171
Llama Krikri 8B,4bit Optimized GPTQ,EN-GR,High_Morphology,225,75,0.900375,0.906892,0.54356,0.555426,-0.006517,-0.011866,0.901782,0.90704,0.544357,0.555051,-0.005258,-0.010694,0.902005,0.546527,0.903096,0.54703,0.001092,0.000504,0.001406,0.000148,0.000797,-0.000375,-0.001258,-0.001172,-0.001258,-0.001172
Llama Krikri 8B,4bit Optimized GPTQ,EN-GR,Is_Long_Sentence,288,12,0.902814,0.882573,0.544844,0.586918,0.020241,-0.042075,0.903754,0.88731,0.546256,0.565612,0.016444,-0.019356,0.902005,0.546527,0.903096,0.54703,0.001092,0.000504,0.00094,0.004736,0.001412,-0.021306,0.003797,-0.022719,0.003797,-0.022719
Llama Krikri 8B,4bit Spinquant,EN-GR,Has_Rare_Words,163,137,0.904935,0.89285,0.532681,0.538448,0.012085,-0.005767,0.90666,0.898855,0.54231,0.552647,0.007805,-0.010337,0.899417,0.535315,0.903096,0.54703,0.00368,0.011716,0.001725,0.006005,0.009629,0.014199,0.00428,0.00457,0.00428,0.00457
Llama Krikri 8B,4bit Spinquant,EN-GR,High_Morphology,225,75,0.898217,0.903015,0.535032,0.536164,-0.004798,-0.001132,0.901782,0.90704,0.544357,0.555051,-0.005258,-0.010694,0.899417,0.535315,0.903096,0.54703,0.00368,0.011716,0.003565,0.004025,0.009325,0.018887,0.00046,0.009562,0.00046,0.009562
Llama Krikri 8B,4bit Spinquant,EN-GR,Is_Long_Sentence,288,12,0.900256,0.879258,0.534752,0.548819,0.020999,-0.014067,0.903754,0.88731,0.546256,0.565612,0.016444,-0.019356,0.899417,0.535315,0.903096,0.54703,0.00368,0.011716,0.003497,0.008052,0.011504,0.016793,0.004555,0.005289,0.004555,0.005289
