Base_Model,Quantization,Direction,Challenge,Normal_Count,Challenging_Count,COMET_Normal,COMET_Challenging,chrF_Normal,chrF_Challenging,COMET_Raw_Gap,chrF_Raw_Gap,Baseline_COMET_Normal,Baseline_COMET_Challenging,Baseline_chrF_Normal,Baseline_chrF_Challenging,Baseline_COMET_Raw_Gap,Baseline_chrF_Raw_Gap,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Normal_Penalty,COMET_Challenging_Penalty,chrF_Normal_Penalty,chrF_Challenging_Penalty,COMET_Excess_Challenge_Effect,chrF_Excess_Challenge_Effect,COMET_Effect_Check,chrF_Effect_Check
Llama 3 8B,4bit K-Means,All,Is_Long_Sentence,565,35,0.726463,0.720147,0.39408,0.452895,0.006315,-0.058815,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.726094,0.397511,0.869891,0.538079,0.143797,0.140568,0.144627,0.130399,0.140637,0.139455,-0.014228,-0.001182,-0.014228,-0.001182
Llama 3 8B,4bit Omniquant,All,Has_Rare_Words,224,376,0.846827,0.834306,0.483947,0.514892,0.012522,-0.030945,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.838981,0.503339,0.869891,0.538079,0.03091,0.03474,0.03051,0.031149,0.02928,0.037993,0.000638,0.008712,0.000638,0.008712
Llama 3 8B,4bit Omniquant,All,High_Morphology,450,150,0.837986,0.841963,0.502702,0.505249,-0.003976,-0.002547,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.838981,0.503339,0.869891,0.538079,0.03091,0.03474,0.029466,0.035242,0.030077,0.048729,0.005775,0.018652,0.005775,0.018652
Llama 3 8B,4bit Omniquant,All,Is_Long_Sentence,565,35,0.839448,0.831438,0.49882,0.576289,0.00801,-0.077469,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.838981,0.503339,0.869891,0.538079,0.03091,0.03474,0.031641,0.019108,0.035897,0.016061,-0.012533,-0.019836,-0.012533,-0.019836
Llama 3 8B,4bit Optimized GPTQ,All,Has_Rare_Words,224,376,0.865172,0.852822,0.493642,0.536621,0.01235,-0.042979,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.857433,0.520575,0.869891,0.538079,0.012458,0.017504,0.012166,0.012632,0.019586,0.016264,0.000466,-0.003322,0.000466,-0.003322
Llama 3 8B,4bit Optimized GPTQ,All,High_Morphology,450,150,0.857318,0.857777,0.519048,0.525157,-0.000459,-0.00611,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.857433,0.520575,0.869891,0.538079,0.012458,0.017504,0.010135,0.019427,0.013732,0.028821,0.009292,0.015089,0.009292,0.015089
Llama 3 8B,4bit Optimized GPTQ,All,Is_Long_Sentence,565,35,0.858506,0.840107,0.518088,0.560723,0.018399,-0.042635,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.857433,0.520575,0.869891,0.538079,0.012458,0.017504,0.012583,0.010439,0.016629,0.031627,-0.002144,0.014998,-0.002144,0.014998
Llama 3 8B,4bit Spinquant,All,Has_Rare_Words,224,376,0.865796,0.856989,0.505187,0.538572,0.008807,-0.033385,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.860277,0.526108,0.869891,0.538079,0.009614,0.011971,0.011542,0.008465,0.00804,0.014313,-0.003077,0.006273,-0.003077,0.006273
Llama 3 8B,4bit Spinquant,All,High_Morphology,450,150,0.856912,0.870374,0.519468,0.546029,-0.013462,-0.026561,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.860277,0.526108,0.869891,0.538079,0.009614,0.011971,0.010541,0.006831,0.013312,0.00795,-0.00371,-0.005362,-0.00371,-0.005362
Llama 3 8B,4bit Spinquant,All,Is_Long_Sentence,565,35,0.861823,0.835318,0.523383,0.570102,0.026506,-0.046719,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.860277,0.526108,0.869891,0.538079,0.009614,0.011971,0.009266,0.015228,0.011335,0.022248,0.005962,0.010914,0.005962,0.010914
