Base_Model,Quantization,Direction,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Mean_Abs_Challenge_Effect,chrF_Mean_Abs_Challenge_Effect,COMET_Max_Positive_Challenge_Effect,chrF_Max_Positive_Challenge_Effect
Llama 3 8B,Int4 AWQ,EN-GR,0.857529,0.463777,0.869164,0.477214,0.011635,0.013437,0.005441,0.006194,0.004115,0.009446
Llama 3 8B,Int8,EN-GR,0.867593,0.476419,0.869164,0.477214,0.00157,0.000795,0.004975,0.009528,0.002922,-0.006603
Llama 3 8B,Int8 A8W8,EN-GR,0.870629,0.47495,0.869164,0.477214,-0.001465,0.002265,0.004849,0.011042,0.005044,0.01173
Llama 3 8B,Int8 Bookends,EN-GR,0.869147,0.479035,0.869164,0.477214,1.6e-05,-0.001821,0.006027,0.008081,0.007017,0.010531
Llama 3 8B,Nf4,EN-GR,0.859275,0.462002,0.869164,0.477214,0.009888,0.015212,0.003104,0.007368,0.005058,0.013812
Llama 3 8B,2bit 10% Fast Spqr,GR-EN,0.678815,0.401408,0.870618,0.598944,0.191803,0.197536,0.017285,0.022847,0.025266,0.036654
Llama 3 8B,2bit 5% Spqr,GR-EN,0.34936,0.156764,0.870618,0.598944,0.521259,0.44218,0.031397,0.057781,0.045797,0.097392
Llama 3 8B,4bit K-Means,GR-EN,0.74945,0.453678,0.870618,0.598944,0.121168,0.145266,0.02138,0.019708,0.037088,0.042071
Llama 3 8B,4bit Omniquant,GR-EN,0.843601,0.566069,0.870618,0.598944,0.027017,0.032875,0.007402,0.010683,0.006495,0.007738
Llama 3 8B,4bit Optimized GPTQ,GR-EN,0.859626,0.576486,0.870618,0.598944,0.010992,0.022458,0.004094,0.007776,0.005452,0.012497
Llama 3 8B,4bit Spinquant,GR-EN,0.867086,0.589478,0.870618,0.598944,0.003532,0.009466,0.006013,0.009444,0.012367,0.018438
Llama 3 8B,4bit Static GPTQ,GR-EN,0.866454,0.593323,0.870618,0.598944,0.004165,0.005622,0.004409,0.004414,0.005806,0.006192
Llama 3 8B,4bit True GPTQ,GR-EN,0.864552,0.583695,0.870618,0.598944,0.006066,0.015249,0.003764,0.003765,0.006902,0.006075
Llama 3 8B,Analytical Net Mngr 5GB,GR-EN,0.47106,0.239804,0.870618,0.598944,0.399558,0.35914,0.035393,0.050306,0.072066,0.113512
Llama 3 8B,Empirical Net Mngr 5.5GB,GR-EN,0.775122,0.498019,0.870618,0.598944,0.095496,0.100925,0.011823,0.014344,0.012294,0.024652
Llama 3 8B,Fp4,GR-EN,0.856151,0.578218,0.870618,0.598944,0.014468,0.020726,0.002819,0.003407,0.00583,0.003619
Llama 3 8B,Fp4 AWQ,GR-EN,0.856664,0.582836,0.870618,0.598944,0.013955,0.016108,0.002961,0.006566,0.002667,0.008763
Llama 3 8B,Fp8,GR-EN,0.870546,0.595666,0.870618,0.598944,7.3e-05,0.003278,0.001234,0.004119,0.002916,0.003525
Llama 3 8B,Fp8 Per Tensor,GR-EN,0.868312,0.592881,0.870618,0.598944,0.002307,0.006063,0.001385,0.002738,0.001262,-0.000412
Llama 3 8B,Full Model,GR-EN,0.870618,0.598944,0.870618,0.598944,0.0,0.0,0.0,0.0,0.0,0.0
Llama 3 8B,Int2 Batch16,GR-EN,0.406314,0.160494,0.870618,0.598944,0.464304,0.438451,0.01174,0.039727,0.030916,0.05649
Llama 3 8B,Int4,GR-EN,0.86625,0.59023,0.870618,0.598944,0.004368,0.008714,0.001952,0.005561,0.003489,0.005395
Llama 3 8B,Int4 AWQ,GR-EN,0.86785,0.589406,0.870618,0.598944,0.002768,0.009538,0.001001,0.003715,0.002342,0.001396
Llama 3 8B,Int8,GR-EN,0.869926,0.595787,0.870618,0.598944,0.000692,0.003157,0.002988,0.005121,0.007471,0.00634
Llama 3 8B,Int8 A8W8,GR-EN,0.868273,0.594811,0.870618,0.598944,0.002346,0.004133,0.002195,0.004608,0.003561,0.00628
Llama 3 8B,Int8 Bookends,GR-EN,0.868794,0.594455,0.870618,0.598944,0.001824,0.004489,0.003424,0.005276,0.007388,0.010753
Llama 3 8B,Nf4,GR-EN,0.865291,0.587258,0.870618,0.598944,0.005327,0.011686,0.002847,0.003787,0.003072,0.007354
Llama Krikri 8B,2bit 10% Fast Spqr,All,0.839797,0.497282,0.89099,0.590504,0.051193,0.093222,0.017701,0.019481,-0.004259,0.007404
Llama Krikri 8B,2bit 5% Spqr,All,0.579433,0.209188,0.89099,0.590504,0.311556,0.381316,0.042774,0.068296,0.029385,0.047639
Llama Krikri 8B,4bit K-Means,All,0.875167,0.558848,0.89099,0.590504,0.015823,0.031656,0.002013,0.006952,0.003462,0.015628
Llama Krikri 8B,4bit Omniquant,All,0.890886,0.584666,0.89099,0.590504,0.000104,0.005838,0.003352,0.005506,0.004763,0.013167
Llama Krikri 8B,4bit Optimized GPTQ,All,0.890737,0.586041,0.89099,0.590504,0.000253,0.004463,0.00321,0.005362,0.004606,0.006036
Llama Krikri 8B,4bit Spinquant,All,0.891019,0.582384,0.89099,0.590504,-3e-05,0.00812,0.002831,0.003741,0.00392,0.005979
Llama Krikri 8B,4bit Static GPTQ,All,0.890404,0.58532,0.89099,0.590504,0.000586,0.005184,0.002224,0.005591,0.004674,0.008938
Llama Krikri 8B,4bit True GPTQ,All,0.889442,0.583615,0.89099,0.590504,0.001547,0.006889,0.001075,0.004184,0.001188,0.007555
Llama Krikri 8B,Analytical Net Mngr 4.5GB,All,0.41054,0.042455,0.89099,0.590504,0.48045,0.548049,0.015829,0.031464,0.035901,0.041662
Llama Krikri 8B,Empirical Net Mngr 5.5GB,All,0.880851,0.574523,0.89099,0.590504,0.010138,0.01598,0.000763,0.010702,0.001287,0.018378
Llama Krikri 8B,Fp4,All,0.891811,0.588672,0.89099,0.590504,-0.000821,0.001832,0.002822,0.007303,0.005864,0.015384
Llama Krikri 8B,Fp4 AWQ,All,0.892046,0.590146,0.89099,0.590504,-0.001056,0.000358,0.00082,0.005508,0.001426,0.004352
Llama Krikri 8B,Fp8,All,0.891753,0.588338,0.89099,0.590504,-0.000763,0.002166,0.001911,0.002849,0.003442,0.004133
Llama Krikri 8B,Fp8 Per Tensor,All,0.890913,0.588177,0.89099,0.590504,7.6e-05,0.002327,0.000585,0.004724,0.00084,0.004322
Llama Krikri 8B,Full Model,All,0.89099,0.590504,0.89099,0.590504,0.0,0.0,0.0,0.0,0.0,0.0
Llama Krikri 8B,Int2 Batch16,All,0.598448,0.072062,0.89099,0.590504,0.292542,0.518442,0.022916,0.033632,0.028937,0.065549
Llama Krikri 8B,Int4,All,0.890401,0.586017,0.89099,0.590504,0.000588,0.004487,0.001763,0.007808,0.004089,0.01447
Llama Krikri 8B,Int4 AWQ,All,0.890946,0.587351,0.89099,0.590504,4.4e-05,0.003153,0.004214,0.007106,0.007157,0.012731
Llama Krikri 8B,Int8,All,0.890332,0.588361,0.89099,0.590504,0.000658,0.002143,0.000254,0.001163,-0.000229,0.000642
Llama Krikri 8B,Int8 A8W8,All,0.889602,0.591933,0.89099,0.590504,0.001388,-0.001429,0.002292,0.00806,0.004873,0.018925
Llama Krikri 8B,Int8 Bookends,All,0.890659,0.589153,0.89099,0.590504,0.000331,0.001351,0.001671,0.003309,0.002422,0.006712
Llama Krikri 8B,Nf4,All,0.889388,0.586007,0.89099,0.590504,0.001602,0.004497,0.001385,0.004495,0.002131,0.008096
Llama Krikri 8B,2bit 10% Fast Spqr,EN-GR,0.823856,0.420385,0.903096,0.54703,0.07924,0.126645,0.029461,0.036559,-0.008994,0.009908
Llama Krikri 8B,2bit 5% Spqr,EN-GR,0.506993,0.01388,0.903096,0.54703,0.396103,0.533151,0.029198,0.0079,0.062118,0.011425
Llama Krikri 8B,4bit K-Means,EN-GR,0.878116,0.516792,0.903096,0.54703,0.02498,0.030239,0.004696,0.011685,0.01057,0.006409
Llama Krikri 8B,4bit Omniquant,EN-GR,0.900728,0.543809,0.903096,0.54703,0.002368,0.003221,0.004946,0.00925,0.011004,0.017779
Llama Krikri 8B,4bit Optimized GPTQ,EN-GR,0.902005,0.546527,0.903096,0.54703,0.001092,0.000504,0.002258,0.008021,0.003797,-0.000171
