Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
Mistral 7B,2bit 10% Fast Spqr,3,0.6386,0.4194,0.529,11.9704,49.5813,4.62,6.34
Mistral 7B,4bit Spinquant,1,0.8044,0.5816,0.693,4.6096,24.4627,5.92,3.98
Mistral 7B,4bit Spinquant,2,0.7971,0.5838,0.6904,4.9183,24.3673,5.43,3.98
Mistral 7B,4bit Spinquant,3,0.7787,0.5934,0.6861,4.5043,23.9846,5.43,3.98
Mistral 7B,Analytical Net Mngr 3.7GB,1,0.709,0.5243,0.6167,8.7289,25.813,4.55,3.65
Mistral 7B,Analytical Net Mngr 3.7GB,2,0.7095,0.5079,0.6087,9.4403,27.4972,5.19,3.65
Mistral 7B,Analytical Net Mngr 3.7GB,3,0.6649,0.5328,0.5989,9.8757,26.5321,5.14,3.65
Mistral 7B,Empirical Net Mngr 3.7GB,1,0.7251,0.5503,0.6377,6.5243,24.8855,4.99,3.67
Mistral 7B,Empirical Net Mngr 3.7GB,2,0.7163,0.5389,0.6276,7.3813,24.6331,4.67,3.67
Mistral 7B,Empirical Net Mngr 3.7GB,3,0.7041,0.5466,0.6253,7.6603,25.5889,4.83,3.67
Gemini 2.5 Flash 32B,Full Model,1,0.8933,0.9107,0.902,1.0598,1.1695,4.28,0
Gemini 2.5 Flash 32B,Full Model,2,0.8877,0.9051,0.8964,1.1047,1.9487,4.33,0
Gemini 2.5 Flash 32B,Full Model,3,0.8862,0.9041,0.8952,1.2469,1.1774,4.33,0
