Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
NLLB 3.3B,2bit 1% Spqr,1,0.8683,0.8391,0.8537,2.5642,3.2708,5.13,1.91
NLLB 3.3B,2bit 1% Spqr,2,0.8565,0.8522,0.8543,2.6463,3.497,5.26,1.91
NLLB 3.3B,2bit 1% Spqr,3,0.8626,0.8417,0.8522,2.4906,3.3808,5.26,1.91
NLLB 3.3B,2bit 10% Fast Spqr,1,0.8771,0.8851,0.8811,2.2615,3.119,5.15,3.37
NLLB 3.3B,2bit 10% Fast Spqr,2,0.8741,0.8803,0.8772,2.3367,3.1435,5.42,3.37
NLLB 3.3B,2bit 10% Fast Spqr,3,0.8798,0.8775,0.8787,2.2087,3.1958,5.43,3.37
NLLB 3.3B,4bit K-Means,1,0.8875,0.8905,0.889,1.6764,2.4176,4.93,2.3
NLLB 3.3B,4bit K-Means,2,0.8732,0.8876,0.8804,1.7367,2.4819,4.98,2.3
NLLB 3.3B,4bit K-Means,3,0.885,0.8834,0.8842,1.6448,2.3909,5.03,2.3
NLLB 3.3B,Analytical Net Mngr 2.2GB,1,0.8847,0.8919,0.8883,2.0572,2.7074,5.07,2.16
NLLB 3.3B,Analytical Net Mngr 2.2GB,2,0.8742,0.8907,0.8824,2.0882,2.9542,5.09,2.16
NLLB 3.3B,Analytical Net Mngr 2.2GB,3,0.8783,0.8785,0.8784,1.969,2.8677,5.11,2.16
NLLB 3.3B,Empirical Net Mngr 2GB,1,0.8743,0.8845,0.8794,2.1161,2.837,5.18,1.96
NLLB 3.3B,Empirical Net Mngr 2GB,2,0.8647,0.8793,0.872,2.1683,2.999,5.26,1.96
NLLB 3.3B,Empirical Net Mngr 2GB,3,0.8685,0.8714,0.87,2.0032,2.8255,5.27,1.96
Llama Krikri 8B,Fp4 AWQ,1,0.8875,0.9137,0.9006,4.0893,5.1635,5.3,5.76
Llama Krikri 8B,Fp4 AWQ,2,0.8821,0.9011,0.8916,4.1382,5.3178,5.93,5.76
Llama Krikri 8B,Fp4 AWQ,3,0.8733,0.8947,0.884,3.8448,5.0323,5.96,5.76
Llama Krikri 8B,Int4 AWQ,1,0.8853,0.9105,0.8979,4.0135,4.8147,5.53,5.76
Llama Krikri 8B,Int4 AWQ,2,0.8763,0.9024,0.8894,4.1362,5.0175,6.08,5.76
Llama Krikri 8B,Int4 AWQ,3,0.8749,0.8963,0.8856,3.822,4.7801,6.13,5.76
Llama Krikri 8B,Int8 Bookends,1,0.8821,0.9082,0.8951,4.7617,6.1876,5.9,7.82
Llama Krikri 8B,Int8 Bookends,2,0.8808,0.9014,0.8911,4.9485,6.6808,5.97,7.82
Llama Krikri 8B,Int8 Bookends,3,0.8702,0.8979,0.8841,4.6235,6.3538,5.98,7.82
Llama Krikri 8B,Fp4,1,0.8846,0.909,0.8968,3.966,4.8413,5.29,5.75
Llama Krikri 8B,Fp4,2,0.8797,0.9021,0.8909,4.2167,5.0547,6.01,5.75
Llama Krikri 8B,Fp4,3,0.8774,0.898,0.8877,3.8189,4.7705,6.05,5.75
Llama Krikri 8B,Fp8,1,0.8867,0.9087,0.8977,4.1683,5.3688,5.23,8.78
Llama Krikri 8B,Fp8,2,0.8791,0.9019,0.8905,4.4118,5.7811,5.94,8.78
Llama Krikri 8B,Fp8,3,0.8772,0.897,0.8871,4.1158,5.3847,5.97,8.78
Llama Krikri 8B,Fp8 Per Tensor,1,0.8876,0.908,0.8978,4.1886,5.4506,5.28,8.78
Llama Krikri 8B,Fp8 Per Tensor,2,0.8804,0.9016,0.891,4.4483,5.7915,5.49,8.78
Llama Krikri 8B,Fp8 Per Tensor,3,0.8724,0.8955,0.884,4.1404,5.6644,5.58,8.78
Llama Krikri 8B,Full Model,1,0.8855,0.9092,0.8974,2.0792,2.6635,5.42,15.28
Llama Krikri 8B,Full Model,2,0.8795,0.9017,0.8906,2.2002,2.7947,5.94,15.28
Llama Krikri 8B,Full Model,3,0.8717,0.8983,0.885,2.0436,2.6337,5.98,15.28
Llama Krikri 8B,4bit Static GPTQ,1,0.8863,0.9066,0.8965,3.9676,4.8322,5.29,5.8
Llama Krikri 8B,4bit Static GPTQ,2,0.8751,0.9022,0.8886,4.1933,5.0555,5.54,5.8
