Base_Model,Quantization,Metric_Family,Metric_ID,Metric_Label,Sentence_Count,Support,Reliability,Display_Unit,Quantized_Value,Baseline_Value,Excess_Effect,Quantized_Underproduction,Baseline_Underproduction,Excess_Underproduction,Quantized_Overproduction,Baseline_Overproduction,Excess_Overproduction
Llama 3 8B,Full Model,Content preservation,negations,Negation recall,300,62.0,Adequate support,percentage-point recall loss,74.19354838709677,74.19354838709677,0.0,25.806451612903224,25.806451612903224,0.0,7.0,7.0,0.0
Llama 3 8B,Full Model,Content preservation,numbers,Number recall,300,149.0,Adequate support,percentage-point recall loss,83.22147651006712,83.22147651006712,0.0,16.778523489932887,16.778523489932887,0.0,7.333333333333333,7.333333333333333,0.0
Llama 3 8B,Full Model,Content preservation,proper_nouns,Proper-noun recall,300,543.0,Adequate support,percentage-point recall loss,72.00736648250461,72.00736648250461,0.0,27.992633517495396,27.992633517495396,0.0,45.0,45.0,0.0
Llama 3 8B,Full Model,Internal agreement,demonstrative_noun_agreement,Demonstrative-noun disagreement,300,29.0,Low support,percentage-point violation rate,3.4482758620689653,3.4482758620689653,0.0,,,,,,
Llama 3 8B,Full Model,Internal agreement,indefinite_article_number,Indefinite article-plural noun incompatibility,300,150.0,Adequate support,percentage-point violation rate,1.3333333333333333,1.3333333333333333,0.0,,,,,,
Llama 3 8B,Full Model,Internal agreement,subject_verb_agreement,Subject-verb disagreement,300,110.0,Adequate support,percentage-point violation rate,1.8181818181818181,1.8181818181818181,0.0,,,,,,
Llama 3 8B,Full Model,Structural realisation,adjective_modifiers,Adjective modifiers,300,437.0,Adequate support,divergences per 100 sentences,53.0,53.0,0.0,14.187643020594965,14.187643020594965,0.0,32.333333333333336,32.333333333333336,0.0
Llama 3 8B,Full Model,Structural realisation,definite_articles,Definite articles,300,440.0,Adequate support,divergences per 100 sentences,78.66666666666667,78.66666666666667,0.0,9.318181818181818,9.318181818181818,0.0,65.0,65.0,0.0
Llama 3 8B,Full Model,Structural realisation,infinitival_markers,Infinitival markers,300,109.0,Adequate support,divergences per 100 sentences,20.0,20.0,0.0,30.275229357798164,30.275229357798164,0.0,9.0,9.0,0.0
Llama 3 8B,Full Model,Structural realisation,modal_auxiliaries,Modal auxiliaries,300,77.0,Adequate support,divergences per 100 sentences,11.0,11.0,0.0,25.974025974025974,25.974025974025974,0.0,4.333333333333333,4.333333333333333,0.0
Llama 3 8B,Full Model,Structural realisation,of_genitives,Of-genitive constructions,300,193.0,Adequate support,divergences per 100 sentences,49.0,49.0,0.0,22.27979274611399,22.27979274611399,0.0,34.666666666666664,34.666666666666664,0.0
Llama 3 8B,Full Model,Structural realisation,participles,Participles,300,356.0,Adequate support,divergences per 100 sentences,62.0,62.0,0.0,30.0561797752809,30.0561797752809,0.0,26.333333333333332,26.333333333333332,0.0
Llama 3 8B,Full Model,Structural realisation,passive_constructions,Passive constructions,300,107.0,Adequate support,divergences per 100 sentences,23.0,23.0,0.0,31.77570093457944,31.77570093457944,0.0,11.666666666666666,11.666666666666666,0.0
